 Reporting Area,MMWR Year,MMWR Week,"Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2017","Salmonellosis, Cum 2017, flag","Salmonellosis, Cum 2016","Salmonellosis, Cum 2016, flag","Shiga toxin-producing E. coli (STEC)§, Current week","Shiga toxin-producing E. coli (STEC)§, Current week, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2017","Shiga toxin-producing E. coli (STEC)§, Cum 2017, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2016","Shiga toxin-producing E. coli (STEC)§, Cum 2016, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Med","Shigellosis, Previous 52 weeks Med, flag","Shigellosis, Previous 52 weeks Max","Shigellosis, Previous 52 weeks Max, flag","Shigellosis, Cum 2017","Shigellosis, Cum 2017, flag","Shigellosis, Cum 2016","Shigellosis, Cum 2016, flag",Location 1,Location 2
NORTH CAROLINA,2017,1,,-,22,,89,,,-,26,,,-,0,,4,,,-,2,,,-,6,,26,,,-,7,,"NORTH CAROLINA
(35.47995, -79.180571)",
LOUISIANA,2017,1,5,,10,,41,,5,,10,,1,,0,,2,,1,,,-,2,,4,,16,,2,,2,,"LOUISIANA
(31.2931, -92.463284)",
MARYLAND,2017,1,1,,14,,38,,1,,10,,,-,1,,5,,,-,1,,,-,3,,9,,,-,3,,"MARYLAND
(39.290443, -76.612333)",
MICHIGAN,2017,1,,-,18,,42,,,-,6,,,-,3,,12,,,-,1,,,-,9,,25,,,-,10,,"MICHIGAN
(44.66399, -84.711206)",
FLORIDA,2017,1,42,,107,,213,,42,,80,,2,,3,,8,,2,,3,,12,,15,,32,,12,,22,,"FLORIDA
(28.915325, -81.922409)",
C.N.M.I.,2017,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEW MEXICO,2017,1,1,,5,,17,,1,,5,,,-,1,,6,,,-,,-,,-,2,,21,,,-,2,,"NEW MEXICO
(34.520396, -106.244402)",
SOUTH CAROLINA,2017,1,3,,18,,68,,3,,25,,,-,0,,2,,,-,1,,3,,3,,11,,3,,11,,"SOUTH CAROLINA
(34.009286, -81.037094)",
UNITED STATES,2017,2,205,,850,,1636,,436,,1274,,14,,133,,258,,36,,153,,79,,379,,479,,190,,814,,,
NEW ENGLAND,2017,2,1,,38,,78,,4,,49,,,-,5,,38,,,-,7,,,-,5,,13,,1,,7,,,
MID. ATLANTIC,2017,2,22,,81,,195,,51,,115,,1,,14,,30,,8,,23,,11,,27,,51,,23,,53,,,
NEW YORK CITY,2017,2,15,,19,,42,,23,,24,,,-,2,,9,,4,,5,,10,,8,,17,,17,,13,,,
E.N. CENTRAL,2017,2,8,,101,,195,,29,,139,,5,,15,,85,,5,,27,,23,,63,,120,,48,,194,,,
W.N. CENTRAL,2017,2,2,,47,,202,,13,,95,,1,,17,,41,,2,,20,,1,,30,,98,,4,,106,,,
S. ATLANTIC,2017,2,105,,213,,496,,189,,362,,6,,11,,29,,10,,20,,20,,52,,81,,51,,126,,,
E.S. CENTRAL,2017,2,12,,72,,205,,33,,143,,1,,6,,14,,4,,17,,3,,14,,28,,18,,51,,,
W.S. CENTRAL,2017,2,23,,146,,272,,31,,107,,,-,23,,39,,1,,9,,10,,103,,162,,13,,116,,,
MOUNTAIN,2017,2,29,,50,,97,,53,,89,,,-,16,,34,,6,,9,,11,,34,,56,,19,,73,,,
PACIFIC,2017,2,3,,112,,186,,33,,175,,,-,20,,63,,,-,21,,,-,44,,78,,13,,88,,,
AMER. SAMOA,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
NORTH DAKOTA,2017,2,,-,2,,10,,,-,2,,,-,1,,3,,,-,1,,,-,0,,2,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
SOUTH CAROLINA,2017,2,4,,17,,68,,10,,46,,,-,0,,2,,1,,1,,2,,3,,10,,6,,21,,"SOUTH CAROLINA
(34.009286, -81.037094)",
RHODE ISLAND,2017,2,,-,2,,6,,,-,,-,,-,0,,2,,,-,,-,,-,0,,4,,,-,1,,"RHODE ISLAND
(41.707447, -71.522488)",
INDIANA,2017,2,,-,10,,28,,,-,15,,,-,1,,8,,,-,1,,,-,4,,14,,,-,15,,"INDIANA
(39.76845, -86.156212)",
CONNECTICUT,2017,2,,-,8,,22,,3,,18,,,-,1,,34,,,-,1,,,-,1,,4,,1,,1,,"CONNECTICUT
(41.544654, -72.651713)",
NEW HAMPSHIRE,2017,2,,-,3,,9,,,-,2,,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
KANSAS,2017,2,,-,8,,25,,2,,10,,,-,2,,7,,,-,,-,,-,4,,14,,,-,10,,"KANSAS
(38.345528, -98.201847)",
IDAHO,2017,2,2,,3,,10,,4,,11,,,-,2,,13,,2,,2,,,-,0,,4,,1,,4,,"IDAHO
(43.680635, -114.364237)",
GUAM,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
ARIZONA,2017,2,8,,16,,34,,17,,27,,,-,3,,8,,1,,1,,9,,22,,49,,12,,60,,"ARIZONA
(34.869712, -111.760902)",
WISCONSIN,2017,2,,-,15,,30,,,-,14,,,-,4,,13,,,-,6,,5,,13,,40,,8,,42,,"WISCONSIN
(44.395526, -89.834513)",
OHIO,2017,2,8,,26,,68,,29,,48,,5,,4,,14,,5,,5,,18,,21,,54,,40,,76,,"OHIO
(40.056807, -82.405897)",
ALABAMA,2017,2,7,,22,,49,,13,,80,,,-,0,,3,,1,,,-,1,,4,,10,,4,,18,,"ALABAMA
(32.839182, -86.631125)",
COLORADO,2017,2,16,,12,,33,,22,,10,,,-,4,,11,,,-,3,,2,,3,,16,,6,,1,,"COLORADO
(38.841772, -106.132562)",
TEXAS,2017,2,10,,103,,231,,12,,71,,,-,17,,36,,,-,8,,8,,79,,130,,9,,93,,"TEXAS
(31.827233, -99.423022)",
VIRGIN ISL.,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
TENNESSEE,2017,2,4,,18,,105,,9,,30,,1,,4,,9,,3,,11,,,-,4,,13,,1,,17,,"TENNESSEE
(35.681402, -85.774444)",
NEW YORK,2017,2,,-,25,,66,,6,,25,,,-,4,,16,,1,,2,,,-,4,,12,,2,,10,,"NEW YORK
(42.826892, -75.544286)",
VIRGINIA,2017,2,3,,21,,44,,3,,11,,,-,2,,8,,,-,1,,3,,7,,15,,4,,6,,"VIRGINIA
(37.542699, -78.45822)",
MASSACHUSETTS,2017,2,,-,21,,53,,,-,25,,,-,2,,7,,,-,5,,,-,3,,8,,,-,5,,"MASSACHUSETTS
(42.268546, -72.085064)",
GEORGIA,2017,2,9,,41,,156,,33,,55,,1,,2,,9,,2,,3,,4,,12,,29,,10,,40,,"GEORGIA
(32.836038, -83.631709)",
UTAH,2017,2,,-,6,,12,,5,,19,,,-,2,,5,,2,,1,,,-,1,,5,,,-,2,,"UTAH
(39.359772, -111.584173)",
MISSOURI,2017,2,,-,18,,42,,,-,36,,,-,5,,19,,,-,6,,,-,12,,75,,,-,61,,"MISSOURI
(38.636168, -92.566292)",
MISSISSIPPI,2017,2,1,,18,,57,,11,,24,,,-,0,,2,,,-,,-,,-,1,,5,,4,,2,,"MISSISSIPPI
(32.738663, -89.537312)",
NEVADA,2017,2,,-,3,,9,,,-,5,,,-,1,,4,,,-,1,,,-,1,,10,,,-,3,,"NEVADA
(39.491833, -117.070159)",
LOUISIANA,2017,2,4,,10,,41,,9,,24,,,-,0,,2,,1,,,-,,-,4,,16,,2,,4,,"LOUISIANA
(31.2931, -92.463284)",
MICHIGAN,2017,2,,-,18,,42,,,-,18,,,-,3,,12,,,-,4,,,-,9,,25,,,-,23,,"MICHIGAN
(44.66399, -84.711206)",
VERMONT,2017,2,,-,2,,10,,,-,1,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
CALIFORNIA,2017,2,1,,84,,149,,22,,149,,,-,14,,34,,,-,20,,,-,35,,70,,13,,74,,"CALIFORNIA
(37.640735, -121.002435)",
KENTUCKY,2017,2,,-,9,,77,,,-,9,,,-,1,,5,,,-,6,,2,,5,,14,,9,,14,,"KENTUCKY
(37.64591, -84.774043)",
NEW MEXICO,2017,2,,-,5,,17,,2,,12,,,-,1,,6,,1,,,-,,-,2,,21,,,-,3,,"NEW MEXICO
(34.520396, -106.244402)",
DIST. OF COL.,2017,2,,-,0,,2,,,-,,-,,-,0,,0,,,-,1,,,-,0,,1,,,-,1,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MARYLAND,2017,2,6,,14,,38,,14,,19,,2,,1,,6,,2,,3,,2,,3,,9,,6,,7,,"MARYLAND
(39.290443, -76.612333)",
NEW JERSEY,2017,2,,-,15,,55,,1,,43,,,-,2,,7,,,-,9,,,-,4,,10,,,-,14,,"NEW JERSEY
(40.104655, -74.386686)",
C.N.M.I.,2017,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
IOWA,2017,2,1,,13,,58,,7,,34,,,-,4,,21,,,-,5,,,-,6,,31,,2,,31,,"IOWA
(42.46942, -93.815856)",
ILLINOIS,2017,2,,-,32,,63,,,-,44,,,-,3,,60,,,-,11,,,-,10,,22,,,-,38,,"ILLINOIS
(40.477092, -88.993221)",
WYOMING,2017,2,2,,1,,5,,2,,1,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
PENNSYLVANIA,2017,2,7,,25,,61,,21,,23,,1,,4,,12,,3,,7,,1,,9,,29,,4,,16,,"PENNSYLVANIA
(40.789676, -77.858055)",
DELAWARE,2017,2,,-,2,,16,,2,,2,,,-,0,,2,,,-,,-,,-,1,,4,,4,,1,,"DELAWARE
(39.008676, -75.574561)",
HAWAII,2017,2,,-,5,,18,,,-,11,,,-,0,,3,,,-,,-,,-,0,,5,,,-,1,,"HAWAII
(21.30992, -157.858158)",
PUERTO RICO,2017,2,,-,10,,21,,1,,39,,,-,0,,0,,,-,,-,,-,0,,4,,,-,1,,"PUERTO RICO
(18.215692, -66.414655)",
NORTH CAROLINA,2017,2,,-,28,,91,,,-,45,,,-,1,,4,,,-,2,,,-,8,,28,,,-,10,,"NORTH CAROLINA
(35.47995, -79.180571)",
WASHINGTON,2017,2,1,,13,,30,,1,,1,,,-,2,,37,,,-,,-,,-,3,,11,,,-,1,,"WASHINGTON
(47.517368, -120.467672)",
OREGON,2017,2,1,,8,,23,,8,,14,,,-,3,,15,,,-,1,,,-,1,,9,,,-,12,,"OREGON
(44.567912, -120.156945)",
MAINE,2017,2,1,,2,,7,,1,,3,,,-,0,,3,,,-,1,,,-,0,,1,,,-,,-,"MAINE
(45.252223, -68.986647)",
SOUTH DAKOTA,2017,2,,-,3,,107,,,-,5,,,-,1,,9,,,-,1,,,-,0,,2,,,-,2,,"SOUTH DAKOTA
(44.35371, -100.373709)",
ARKANSAS,2017,2,2,,13,,45,,2,,4,,,-,1,,7,,,-,1,,1,,2,,11,,1,,6,,"ARKANSAS
(34.748745, -92.275105)",
FLORIDA,2017,2,83,,107,,213,,127,,182,,3,,3,,8,,5,,6,,9,,15,,32,,21,,40,,"FLORIDA
(28.915325, -81.922409)",
OKLAHOMA,2017,2,7,,14,,52,,8,,8,,,-,2,,14,,,-,,-,1,,10,,68,,1,,13,,"OKLAHOMA
(35.468494, -97.521264)",
ALASKA,2017,2,,-,1,,5,,2,,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
WEST VIRGINIA,2017,2,,-,3,,10,,,-,2,,,-,0,,3,,,-,3,,,-,0,,2,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NEBRASKA,2017,2,1,,4,,14,,4,,8,,1,,2,,10,,2,,7,,1,,3,,14,,2,,2,,"NEBRASKA
(41.640503, -99.367122)",
MONTANA,2017,2,1,,3,,8,,1,,4,,,-,2,,15,,,-,1,,,-,0,,2,,,-,,-,"MONTANA
(47.062617, -109.430168)",
MINNESOTA,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
UNITED STATES,2017,3,200,,857,,1625,,752,,1831,,17,,134,,258,,81,,237,,83,,378,,481,,333,,1230,,,
NEW ENGLAND,2017,3,1,,38,,81,,22,,78,,,-,5,,38,,1,,10,,,-,5,,13,,3,,7,,,
MID. ATLANTIC,2017,3,16,,81,,195,,69,,153,,2,,14,,30,,14,,34,,7,,27,,51,,33,,79,,,
NEW YORK CITY,2017,3,11,,19,,42,,34,,32,,1,,2,,9,,5,,8,,6,,8,,17,,23,,26,,,
E.N. CENTRAL,2017,3,21,,100,,191,,52,,209,,1,,15,,85,,9,,37,,17,,62,,95,,73,,280,,,
W.N. CENTRAL,2017,3,6,,47,,202,,35,,129,,3,,17,,41,,8,,29,,1,,28,,98,,9,,204,,,
S. ATLANTIC,2017,3,75,,213,,496,,277,,530,,4,,11,,29,,18,,30,,18,,52,,83,,72,,167,,,
E.S. CENTRAL,2017,3,30,,70,,205,,81,,186,,3,,6,,14,,11,,25,,3,,14,,28,,30,,64,,,
W.S. CENTRAL,2017,3,26,,146,,272,,62,,155,,1,,23,,39,,7,,15,,21,,107,,162,,40,,188,,,
MOUNTAIN,2017,3,20,,50,,97,,90,,132,,3,,16,,34,,10,,23,,11,,33,,56,,36,,113,,,
PACIFIC,2017,3,5,,112,,187,,64,,259,,,-,21,,63,,3,,34,,5,,43,,78,,37,,128,,,
AMER. SAMOA,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
TENNESSEE,2017,3,6,,18,,105,,15,,36,,3,,4,,9,,8,,15,,2,,3,,13,,5,,17,,"TENNESSEE
(35.681402, -85.774444)",
NEW YORK,2017,3,,-,25,,66,,6,,32,,,-,4,,16,,1,,3,,,-,4,,12,,2,,14,,"NEW YORK
(42.826892, -75.544286)",
C.N.M.I.,2017,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MONTANA,2017,3,,-,3,,8,,2,,7,,,-,2,,15,,,-,1,,,-,0,,2,,,-,1,,"MONTANA
(47.062617, -109.430168)",
INDIANA,2017,3,,-,10,,28,,2,,20,,,-,1,,8,,2,,4,,,-,4,,14,,,-,22,,"INDIANA
(39.76845, -86.156212)",
CALIFORNIA,2017,3,3,,85,,150,,44,,218,,,-,15,,34,,2,,31,,4,,35,,70,,32,,102,,"CALIFORNIA
(37.640735, -121.002435)",
SOUTH CAROLINA,2017,3,5,,17,,68,,24,,58,,1,,0,,2,,2,,2,,1,,3,,10,,10,,27,,"SOUTH CAROLINA
(34.009286, -81.037094)",
CONNECTICUT,2017,3,1,,8,,22,,9,,26,,,-,1,,34,,,-,1,,,-,1,,4,,2,,1,,"CONNECTICUT
(41.544654, -72.651713)",
PENNSYLVANIA,2017,3,5,,25,,61,,28,,37,,1,,4,,13,,8,,11,,1,,9,,29,,7,,22,,"PENNSYLVANIA
(40.789676, -77.858055)",
KANSAS,2017,3,1,,8,,25,,9,,15,,,-,2,,7,,,-,1,,,-,4,,14,,2,,17,,"KANSAS
(38.345528, -98.201847)",
RHODE ISLAND,2017,3,,-,2,,6,,,-,,-,,-,0,,2,,,-,,-,,-,0,,4,,,-,1,,"RHODE ISLAND
(41.707447, -71.522488)",
MINNESOTA,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
GEORGIA,2017,3,2,,41,,156,,37,,70,,1,,2,,9,,7,,3,,,-,12,,29,,11,,55,,"GEORGIA
(32.836038, -83.631709)",
WEST VIRGINIA,2017,3,,-,3,,10,,3,,5,,,-,0,,3,,,-,3,,,-,0,,2,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
ILLINOIS,2017,3,,-,32,,63,,,-,67,,,-,3,,60,,,-,13,,,-,10,,22,,1,,56,,"ILLINOIS
(40.477092, -88.993221)",
MARYLAND,2017,3,10,,14,,38,,22,,34,,,-,1,,5,,2,,4,,3,,3,,9,,9,,7,,"MARYLAND
(39.290443, -76.612333)",
NEW JERSEY,2017,3,,-,15,,55,,1,,52,,,-,2,,7,,,-,12,,,-,4,,10,,1,,17,,"NEW JERSEY
(40.104655, -74.386686)",
